Age,Gender,Country,Device,GameGenre,SessionCount,AverageSessionLength,SpendingSegment,InAppPurchaseAmount,FirstPurchaseDaysAfterInstall,PaymentMethod,LastPurchaseDate
25.0,1,0,1,13,8,19.47,1,17.06,19.0,2,81
20.0,0,6,0,7,17,9.44,1,8.07,6.0,6,66
34.0,0,16,0,8,11,23.42,1,16.38,30.0,3,27
40.0,1,10,0,2,6,30.08,1,4.14,20.0,3,146
20.0,1,23,1,3,12,29.02,0,31.48,30.0,4,1
21.0,1,1,1,9,7,29.41,1,16.48,24.0,4,191
21.0,1,21,1,3,16,8.44,1,18.94,13.0,4,159
51.0,1,14,0,12,7,8.84,0,426.82,19.0,4,208
44.0,1,2,0,0,7,16.38,1,9.09,6.0,1,205
23.0,1,8,0,6,8,14.91,1,5.83,12.0,0,34
47.0,1,10,0,12,9,26.45,1,19.44,19.0,2,88
47.0,0,9,1,9,11,7.21,0,395.95,6.0,3,65
47.0,1,13,1,1,12,10.69,1,14.4,4.0,6,52
33.0,1,10,1,0,9,13.94,1,8.26,1.0,0,65
27.0,1,24,1,6,6,15.81,1,19.99,10.0,3,63
34.0,0,15,1,14,9,28.22,1,17.41,4.0,5,206
16.0,1,26,0,10,13,25.77,1,19.48,18.0,3,84
54.0,1,8,1,5,11,8.66,1,2.94,16.0,0,66
21.0,0,25,1,11,11,13.13,1,2.93,11.0,3,92
15.0,0,11,0,13,11,12.16,1,2.44,8.0,2,73
18.0,0,21,0,4,10,30.52,1,4.52,19.0,5,208
34.0,1,26,1,0,13,11.82,1,5.46,0.0,5,119
33.0,0,10,0,8,10,18.56,1,15.82,18.0,1,131
34.0,1,25,1,4,10,18.18,1,13.79,29.0,3,15
29.0,0,22,0,13,9,20.91,1,11.17,9.0,5,106
36.0,1,22,0,10,13,24.06,1,10.69,8.0,6,148
47.0,1,22,1,2,11,8.95,1,7.68,29.0,4,223
52.0,0,10,1,0,9,16.73,1,14.83,5.0,4,141
23.0,0,15,0,4,5,9.55,1,16.95,16.0,4,151
18.0,1,10,1,11,8,16.07,1,0.16,26.0,5,82
15.0,0,22,1,0,9,29.22,1,3.39,15.0,2,178
30.0,0,18,1,10,8,21.68,1,13.04,8.0,4,88
42.0,1,11,1,6,6,12.65,1,11.46,0.0,6,83
22.0,0,8,1,11,7,20.73,1,6.67,13.0,4,193
45.0,0,15,1,6,8,10.52,1,8.01,30.0,1,15
52.0,1,26,0,2,10,23.48,1,8.02,22.0,0,114
47.0,1,9,0,7,20,9.84,1,3.33,30.0,2,76
50.0,1,25,1,9,13,8.89,1,14.61,7.0,4,123
24.0,0,1,0,6,12,21.95,1,0.02,7.0,0,38
23.0,1,18,1,12,10,25.16,0,97.4,2.0,3,215
26.0,1,14,0,6,10,6.37,1,3.75,10.0,6,159
37.0,0,6,1,11,20,27.83,1,18.21,20.0,4,140
33.0,0,4,0,12,15,26.91,1,9.0,22.0,2,16
45.0,1,6,1,1,14,31.12,1,19.98,9.0,3,193
28.0,1,10,1,6,10,24.18,1,0.27,21.0,4,70
18.0,1,21,0,2,9,34.83,1,4.55,13.0,4,209
22.0,0,13,1,7,6,31.62,1,17.35,24.0,3,100
48.0,1,20,1,1,10,33.09,1,15.15,6.0,6,16
31.0,0,4,0,10,16,6.51,1,8.61,11.0,6,220
17.0,0,19,1,4,13,16.08,2,2363.67,22.0,3,5
47.0,0,23,0,3,10,24.83,1,5.61,18.0,1,41
31.0,0,11,1,7,12,26.5,1,10.68,29.0,2,150
31.0,1,9,0,0,10,29.9,1,11.99,11.0,1,224
24.0,2,1,0,11,4,6.42,1,11.975000000000001,16.0,3,150
37.0,1,9,0,11,11,6.33,1,6.24,23.0,4,99
33.0,1,10,0,11,13,22.08,1,1.73,2.0,3,22
22.0,1,16,0,13,10,10.37,1,11.975000000000001,16.0,3,150
14.0,0,8,1,5,11,29.98,1,14.52,26.0,3,205
42.0,0,19,0,7,13,11.36,2,3629.62,23.0,3,160
28.0,1,1,0,3,9,30.36,1,13.68,13.0,1,141
43.0,1,10,0,5,7,14.45,1,14.31,19.0,5,26
34.0,1,16,1,14,15,10.94,1,0.45,16.0,0,65
29.0,1,8,0,1,8,12.35,1,4.63,18.0,2,219
43.0,0,18,1,1,13,15.55,1,16.98,9.0,0,103
48.0,0,13,1,1,8,26.39,1,17.3,7.0,3,37
50.0,1,7,0,6,9,16.18,1,18.12,8.0,2,203
19.0,0,13,0,4,14,30.29,1,1.19,29.0,3,7
23.0,0,15,0,8,9,33.12,1,8.65,7.0,4,1
39.0,0,4,0,6,9,23.11,1,12.21,14.0,3,172
47.0,0,7,0,3,13,5.3,1,11.8,28.0,0,115
49.0,1,1,1,7,8,24.32,1,19.37,20.0,1,119
15.0,1,10,0,11,14,5.46,1,15.45,27.0,6,67
35.0,1,22,1,14,14,11.78,1,11.975000000000001,16.0,3,150
47.0,1,10,1,8,8,9.05,1,18.22,23.0,2,201
30.0,1,12,1,12,10,6.56,0,71.97,27.0,4,15
33.0,0,1,1,8,9,11.79,1,16.6,17.0,2,24
34.0,1,8,0,8,6,25.86,1,18.08,1.0,2,135
41.0,1,5,0,3,10,30.14,1,10.4,18.0,0,45
34.0,0,4,0,5,11,29.66,1,14.76,23.0,5,151
13.0,0,9,1,0,7,6.48,1,2.11,26.0,1,140
42.0,1,10,0,4,1,34.73,1,8.06,0.0,3,188
35.0,1,26,0,9,7,17.03,1,12.19,6.0,2,197
44.0,1,19,0,8,9,25.54,1,3.75,26.0,1,185
38.0,1,8,1,8,7,34.29,1,1.17,11.0,4,217
27.0,1,25,1,12,12,5.52,1,6.29,15.0,5,219
22.0,0,10,0,13,12,17.37,1,14.15,9.0,1,51
54.0,1,8,0,5,13,24.16,1,3.36,15.0,0,107
47.0,0,7,1,4,9,28.83,0,201.31,1.0,5,37
42.0,0,18,0,11,10,34.07,1,19.97,24.0,1,177
51.0,1,7,1,8,14,25.52,1,15.46,10.0,3,47
53.0,0,10,1,4,14,16.96,1,15.8,8.0,5,34
42.0,1,14,1,6,12,15.22,0,454.39,7.0,2,83
19.0,0,10,1,7,6,18.01,1,11.46,3.0,2,158
15.0,1,11,0,10,9,7.13,1,1.15,20.0,4,66
54.0,0,12,1,11,6,11.69,0,141.41,15.0,5,144
29.0,1,14,1,6,11,29.48,1,12.47,23.0,5,102
18.0,1,9,0,11,8,14.49,1,11.975000000000001,16.0,3,150
17.0,0,17,1,3,7,17.45,1,15.01,4.0,6,80
46.0,1,10,0,12,11,18.52,1,9.52,11.0,6,118
32.0,1,19,1,10,4,23.66,1,18.8,30.0,3,51
25.0,1,18,0,14,6,6.75,0,303.15,19.0,3,13
32.0,0,23,1,2,9,30.67,1,11.975000000000001,16.0,3,150
34.0,1,0,1,5,9,13.03,1,4.33,30.0,2,192
30.0,1,13,1,7,7,22.71,0,295.35,27.0,0,152
26.0,1,2,0,9,11,26.98,1,15.53,2.0,6,62
19.0,0,4,0,8,12,22.75,1,12.21,19.0,5,143
51.0,1,10,1,1,9,34.23,1,6.8,5.0,6,159
17.0,1,23,1,3,11,10.51,1,12.64,15.0,6,13
13.0,0,6,1,10,19,17.02,1,0.67,3.0,6,134
22.0,0,15,0,3,9,29.39,1,14.52,1.0,0,17
53.0,1,24,0,5,8,15.51,1,16.69,26.0,5,95
42.0,0,5,0,2,9,22.04,1,0.55,26.0,5,189
45.0,1,10,0,8,13,6.85,1,13.43,5.0,3,22
14.0,0,1,1,8,15,12.33,1,15.54,20.0,4,191
23.0,1,14,0,7,8,22.98,1,9.91,17.0,0,53
28.0,1,25,0,10,11,9.14,1,19.38,18.0,2,172
29.0,0,1,1,8,8,17.77,1,11.975000000000001,16.0,3,150
18.0,1,20,0,13,13,6.09,1,0.81,3.0,1,142
